,Panel ID,CaloriesCalc,Date,DailyConsumption,ID,BMI,Ethnicity,Strata,Location,Lifestage,#HH,Income,Pax
0,101011101.0,2926937.0,113,3700.2996207332494,101011101.0,Obese,Malay,Urban,North,Empty Nesters,1-3 Member HH,<RM2000 (Low),2.0
1,101016101.0,1117586.0,62,2575.082949308756,101016101.0,Healthy,Malay,Urban,North,Yankys/Matured Families,1-3 Member HH,<RM2000 (Low),2.0
2,101019101.0,4347493.2,152,4085.9898496240603,101019101.0,Obese,Malay,Urban,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
3,101024101.0,2209278.0,152,2076.389097744361,101024101.0,Over Weight,Chinese,Urban,North,Nesting Families,1-3 Member HH,<RM2000 (Low),2.0
4,105009103.0,2118710.0,156,1940.2106227106228,105009103.0,Over Weight,Malay,Rural,North,Empty Nesters,1-3 Member HH,<RM2000 (Low),2.0
5,105015101.0,201710.0,11,2619.6103896103896,105015101.0,Healthy,Malay,Rural,North,Teens and Toddlers,6+ Member HH,RM2000-RM2999 (Low High),6.0
6,105017101.0,727603.0,146,711.940313111546,105017101.0,Obese,Malay,Rural,North,Yankys/Matured Families,1-3 Member HH,<RM2000 (Low),2.0
7,105021106.0,6936465.0,155,1598.2638248847927,105021106.0,Obese,Malay,Rural,North,Yankys/Matured Families,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
8,105027101.0,2191837.0,116,2699.3066502463053,105027101.0,Healthy,Malay,Rural,North,Empty Nesters,1-3 Member HH,<RM2000 (Low),2.0
9,105031104.0,2480165.0,129,2746.583610188261,105031104.0,Over Weight,Malay,Rural,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
10,105043101.0,9112726.0,152,2141.1480263157896,105043101.0,Over Weight,Malay,Rural,North,Teens Aches,4-5 Member HH,RM2000-RM2999 (Low High),4.0
11,105044101.0,847865.0,119,1017.8451380552222,105044101.0,Over Weight,Chinese,Rural,North,Yankys/Matured Families,4-5 Member HH,RM2000-RM2999 (Low High),4.0
12,105046101.0,2229245.0,110,2895.1233766233768,105046101.0,Healthy,Malay,Rural,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
13,105048101.0,2986753.0,71,1502.3908450704225,105048101.0,Obese,Malay,Rural,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
14,105052101.0,6538571.199999999,123,1265.6932249322492,105052101.0,Obese,Malay,Rural,North,Teens and Toddlers,6+ Member HH,<RM2000 (Low),6.0
15,105055101.0,926777.0,87,1521.8013136288998,105055101.0,Under Weight,Malay,Rural,North,Yankys/Matured Families,1-3 Member HH,<RM2000 (Low),2.0
16,105058101.0,1487539.0,74,2871.6969111969115,105058101.0,Obese,Malay,Rural,North,Yankys/Matured Families,1-3 Member HH,<RM2000 (Low),2.0
17,105065101.0,2308792.0,140,2355.9102040816324,105065101.0,Healthy,Malay,Rural,North,Teens and Toddlers,4-5 Member HH,<RM2000 (Low),4.0
18,105066101.0,1096596.0,66,2373.5844155844156,105066101.0,Under Weight,Malay,Rural,North,Teens Aches,1-3 Member HH,<RM2000 (Low),2.0
19,106003101.0,6472325.0,156,5927.037545787546,106003101.0,Healthy,Malay,Urban,North,Yankys/Matured Families,4-5 Member HH,<RM2000 (Low),4.0
20,106004101.0,725276.0,78,1328.3443223443223,106004101.0,Over Weight,Chinese,Urban,North,Teens and Toddlers,6+ Member HH,RM5000-RM7999 (Mid High),6.0
21,106006101.0,2774172.0,153,2590.263305322129,106006101.0,Obese,Malay,Urban,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
22,106012101.0,732288.0,139,752.6084275436793,106012101.0,Healthy,Chinese,Urban,North,Yankys/Matured Families,1-3 Member HH,RM3000-RM4999 (Mid Low),2.0
23,106014103.0,2820643.0,119,3386.1260504201678,106014103.0,Over Weight,Chinese,Urban,North,Teens Aches,4-5 Member HH,RM2000-RM2999 (Low High),4.0
24,106016101.0,732066.0,111,942.1698841698842,106016101.0,Healthy,Chinese,Urban,North,Yankys/Matured Families,1-3 Member HH,>RM7999 (High),2.0
25,106023104.0,1526880.0,135,1615.7460317460318,106023104.0,Over Weight,Chinese,Urban,North,Teens Aches,6+ Member HH,RM2000-RM2999 (Low High),6.0
26,106024101.0,1756450.0,81,3097.795414462081,106024101.0,Healthy,Chinese,Urban,North,Yankys/Matured Families,4-5 Member HH,RM5000-RM7999 (Mid High),4.0
27,106059101.0,1961042.0,146,1918.8277886497065,106059101.0,Under Weight,Chinese,Urban,North,Empty Nesters,4-5 Member HH,RM5000-RM7999 (Mid High),4.0
28,106060101.0,187426.0,20,1338.7571428571428,106060101.0,Healthy,Chinese,Urban,North,Empty Nesters,1-3 Member HH,>RM7999 (High),2.0
29,106061101.0,2304900.0,147,2239.941690962099,106061101.0,Healthy,Chinese,Urban,North,Nesting Families,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
30,106065101.0,2169406.0,73,4245.412915851272,106065101.0,Healthy,Malay,Urban,North,Yankys/Matured Families,1-3 Member HH,<RM2000 (Low),2.0
31,106067102.0,970017.0,105,1319.7510204081632,106067102.0,Over Weight,Chinese,Urban,North,Teens and Toddlers,6+ Member HH,RM3000-RM4999 (Mid Low),6.0
32,106077101.0,2967854.0,105,4037.8965986394555,106077101.0,Over Weight,Malay,Urban,North,Teens and Toddlers,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
33,106081101.0,3224437.0,139,3313.9126413155186,106081101.0,Healthy,Malay,Urban,North,Teens Aches,6+ Member HH,<RM2000 (Low),6.0
34,106082101.0,667014.0,115,828.5888198757764,106082101.0,Under Weight,Chinese,Urban,North,Empty Nesters,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
35,106083101.0,532607.0,19,4004.563909774436,106083101.0,Healthy,Malay,Urban,North,Teens and Toddlers,6+ Member HH,<RM2000 (Low),6.0
36,106085101.0,1785575.0,66,3864.8809523809527,106085101.0,Healthy,Malay,Urban,North,Teens Aches,1-3 Member HH,<RM2000 (Low),2.0
37,106088101.0,866306.0,62,1996.0967741935485,106088101.0,Over Weight,Malay,Urban,North,Nesting Families,6+ Member HH,<RM2000 (Low),6.0
38,106097101.0,3360105.0,142,3380.387323943662,106097101.0,Under Weight,Malay,Urban,North,Teens Aches,1-3 Member HH,<RM2000 (Low),2.0
39,107007102.0,2217769.0,99,3200.243867243867,107007102.0,Over Weight,Malay,Urban,North,Yankys/Matured Families,1-3 Member HH,RM2000-RM2999 (Low High),2.0
40,107009103.0,1178608.0,74,2275.3050193050194,107009103.0,Healthy,Chinese,Urban,North,Empty Nesters,1-3 Member HH,RM2000-RM2999 (Low High),2.0
41,107015101.0,1174486.0,62,2706.188940092166,107015101.0,Healthy,Chinese,Urban,North,Teens Aches,6+ Member HH,>RM7999 (High),6.0
42,107024101.0,986158.0,114,1235.7869674185463,107024101.0,Healthy,Malay,Urban,North,Empty Nesters,1-3 Member HH,RM3000-RM4999 (Mid Low),2.0
43,107025101.0,5659702.0,152,5319.268796992481,107025101.0,Healthy,Malay,Urban,North,Nesting Families,4-5 Member HH,RM2000-RM2999 (Low High),4.0
44,107028101.0,714849.0,29,3521.423645320197,107028101.0,Obese,Malay,Urban,North,Yankys/Matured Families,4-5 Member HH,<RM2000 (Low),4.0
45,107030101.0,2162760.0,119,2596.3505402160868,107030101.0,Healthy,Malay,Urban,North,Teens and Toddlers,6+ Member HH,RM2000-RM2999 (Low High),6.0
46,107032101.0,1029682.0,84,1751.1598639455783,107032101.0,Obese,Malay,Urban,North,Teens and Toddlers,4-5 Member HH,<RM2000 (Low),4.0
47,107034101.0,190291.0,8,3398.0535714285716,107034101.0,Obese,Malay,Urban,North,Nesting Families,4-5 Member HH,RM2000-RM2999 (Low High),4.0
48,107037101.0,2166491.0,81,3820.9717813051147,107037101.0,Over Weight,Malay,Urban,North,Yankys/Matured Families,4-5 Member HH,<RM2000 (Low),4.0
49,107039101.0,959241.0,131,1046.0643402399128,107039101.0,Healthy,Malay,Urban,North,Empty Nesters,1-3 Member HH,<RM2000 (Low),2.0
50,107040101.0,1572604.0,130,1728.1362637362638,107040101.0,Over Weight,Malay,Urban,North,Teens and Toddlers,4-5 Member HH,<RM2000 (Low),4.0
51,107041101.0,1372561.0,36,5446.670634920635,107041101.0,Healthy,Malay,Urban,North,Empty Nesters,1-3 Member HH,RM2000-RM2999 (Low High),2.0
52,107047101.0,1759314.0,143,1757.5564435564436,107047101.0,Over Weight,Others,Urban,North,Teens Aches,4-5 Member HH,>RM7999 (High),4.0
53,107049101.0,1149188.0,98,1675.201166180758,107049101.0,Healthy,Malay,Urban,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
54,107050101.0,2594786.0,68,5451.231092436975,107050101.0,Obese,Malay,Urban,North,Teens and Toddlers,6+ Member HH,<RM2000 (Low),6.0
55,108008103.0,1838343.0,126,2084.2891156462583,108008103.0,Over Weight,Malay,Urban,North,Nesting Families,6+ Member HH,RM3000-RM4999 (Mid Low),6.0
56,108009101.0,2803744.0,118,3394.363196125908,108009101.0,Healthy,Malay,Urban,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
57,108023101.0,2616989.0,82,4559.214285714285,108023101.0,Healthy,Malay,Urban,North,Teens Aches,6+ Member HH,<RM2000 (Low),6.0
58,108031101.0,4793838.0,93,1227.3010752688172,108031101.0,Over Weight,Malay,Urban,North,Teens and Toddlers,6+ Member HH,<RM2000 (Low),6.0
59,108032101.0,2731853.0,121,3225.328217237308,108032101.0,Healthy,Malay,Urban,North,Nesting Families,6+ Member HH,RM3000-RM4999 (Mid Low),6.0
60,108035101.0,38279.0,7,781.2040816326531,108035101.0,Healthy,Malay,Urban,North,Teens and Toddlers,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
61,108040101.0,1805428.0,96,2686.6488095238096,108040101.0,Over Weight,Malay,Urban,North,Yankys/Matured Families,1-3 Member HH,RM3000-RM4999 (Mid Low),2.0
62,108044105.0,2801084.0,132,3031.4761904761904,108044105.0,Obese,Malay,Urban,North,Teens Aches,1-3 Member HH,RM2000-RM2999 (Low High),2.0
63,108052110.0,4163911.0,145,4102.375369458128,108052110.0,Obese,Malay,Urban,North,Teens Aches,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
64,108058101.0,2521986.0,95,3792.46015037594,108058101.0,Healthy,Others,Urban,North,Teens Aches,4-5 Member HH,RM2000-RM2999 (Low High),4.0
65,108071101.0,1053671.0,69,2181.513457556936,108071101.0,Healthy,Malay,Urban,North,Teens Aches,1-3 Member HH,<RM2000 (Low),2.0
66,109012101.0,1680835.0,111,2163.236808236808,109012101.0,Over Weight,Chinese,Urban,North,Teens Aches,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
67,109013101.0,3101776.0,151,2934.5089877010405,109013101.0,Healthy,Chinese,Urban,North,Teens Aches,1-3 Member HH,RM5000-RM7999 (Mid High),2.0
68,109016101.0,1620747.0,150,1543.5685714285714,109016101.0,Healthy,Chinese,Urban,North,Empty Nesters,1-3 Member HH,RM2000-RM2999 (Low High),2.0
69,109017101.0,674852.0,90,1071.193650793651,109017101.0,Healthy,Chinese,Urban,North,Yankys/Matured Families,4-5 Member HH,>RM7999 (High),4.0
70,109024101.0,3001093.0,144,2977.274801587301,109024101.0,Healthy,Malay,Urban,North,Teens Aches,1-3 Member HH,RM2000-RM2999 (Low High),2.0
71,109029101.0,299185.0,28,1526.454081632653,109029101.0,Obese,Chinese,Urban,North,Teens Aches,4-5 Member HH,RM2000-RM2999 (Low High),4.0
72,109030101.0,1873440.0,155,1726.6728110599076,109030101.0,Healthy,Chinese,Urban,North,Yankys/Matured Families,1-3 Member HH,RM3000-RM4999 (Mid Low),2.0
73,109037101.0,2561083.0,88,4157.602272727273,109037101.0,Over Weight,Malay,Urban,North,Nesting Families,4-5 Member HH,RM2000-RM2999 (Low High),4.0
74,109039101.0,234624.0,6,5586.285714285715,109039101.0,Over Weight,Malay,Urban,North,Teens Aches,4-5 Member HH,<RM2000 (Low),4.0
75,109040101.0,4912093.0,156,4498.253663003663,109040101.0,Over Weight,Malay,Urban,North,Teens Aches,4-5 Member HH,RM2000-RM2999 (Low High),4.0
76,109045101.0,1523028.0,79,2754.1193490054247,109045101.0,Over Weight,Malay,Urban,North,Teens and Toddlers,6+ Member HH,RM5000-RM7999 (Mid High),6.0
77,109050101.0,1418050.0,57,3554.0100250626565,109050101.0,Over Weight,Malay,Urban,North,Teens and Toddlers,6+ Member HH,RM5000-RM7999 (Mid High),6.0
78,109052101.0,820449.0,14,4185.964285714285,109052101.0,Under Weight,Malay,Urban,North,Empty Nesters,1-3 Member HH,<RM2000 (Low),2.0
79,110007101.0,151642.0,4,5415.785714285715,110007101.0,Obese,Malay,Urban,North,Teens and Toddlers,4-5 Member HH,<RM2000 (Low),4.0
80,110010101.0,1090031.0,98,1588.966472303207,110010101.0,Healthy,Chinese,Urban,North,Empty Nesters,1-3 Member HH,RM3000-RM4999 (Mid Low),2.0
81,110013101.0,1748150.0,122,2047.0140515222483,110013101.0,Healthy,Chinese,Urban,North,Yankys/Matured Families,1-3 Member HH,RM3000-RM4999 (Mid Low),2.0
82,110029101.0,3399424.0,136,3570.823529411765,110029101.0,Healthy,Malay,Urban,North,Teens and Toddlers,4-5 Member HH,<RM2000 (Low),4.0
83,110037101.0,1955562.0,146,1913.4657534246576,110037101.0,Healthy,Chinese,Urban,North,Yankys/Matured Families,4-5 Member HH,RM2000-RM2999 (Low High),4.0
84,110053101.0,1828795.0,142,1839.8340040241449,110053101.0,Healthy,Malay,Urban,North,Teens Aches,4-5 Member HH,RM2000-RM2999 (Low High),4.0
85,110056101.0,2099118.0,118,2541.305084745763,110056101.0,Over Weight,Chinese,Urban,North,Empty Nesters,1-3 Member HH,RM5000-RM7999 (Mid High),2.0
86,110057101.0,1670319.0,131,1821.503816793893,110057101.0,Healthy,Chinese,Urban,North,Nesting Families,4-5 Member HH,RM3000-RM4999 (Mid Low),4.0
87,110058101.0,2894950.0,123,3362.3112659698027,110058101.0,Obese,Chinese,Urban,North,Teens Aches,6+ Member HH,RM5000-RM7999 (Mid High),6.0
88,110062101.0,2168306.0,121,2559.9834710743803,110062101.0,Obese,Malay,Urban,North,Teens and Toddlers,4-5 Member HH,<RM2000 (Low),4.0
