,Date,Date,Date,Calories/100g
,nunique,min,max,sum
Panel ID,,,,
101011101.0,113,2018-04-29,2021-04-25,121844.0
101016101.0,62,2018-04-29,2021-04-25,77259.0
101019101.0,152,2018-04-29,2021-04-18,444251.0
101024101.0,152,2018-04-29,2021-04-25,256486.0
105009103.0,156,2018-04-29,2021-04-25,348952.0
105015101.0,11,2018-04-29,2018-08-05,11726.0
105017101.0,146,2018-04-29,2021-04-25,81603.0
105021106.0,155,2018-04-29,2021-04-25,285169.0
105027101.0,116,2018-04-29,2021-01-03,154220.0
105031104.0,129,2018-04-29,2021-04-18,125650.0
105043101.0,152,2018-04-29,2021-04-25,758075.0
105044101.0,119,2018-04-29,2021-04-25,116203.0
105046101.0,110,2018-05-06,2021-04-18,119586.0
105048101.0,71,2018-04-29,2021-02-14,126553.0
105052101.0,123,2018-04-29,2021-04-25,343718.0
105055101.0,87,2018-05-27,2020-12-06,67767.0
105058101.0,74,2018-04-29,2021-04-18,54881.0
105065101.0,140,2018-04-29,2021-04-25,216216.0
105066101.0,66,2018-04-29,2021-03-14,102181.0
106003101.0,156,2018-04-29,2021-04-25,294258.0
106004101.0,78,2018-04-29,2020-08-09,28726.0
106006101.0,153,2018-04-29,2021-04-25,135325.0
106012101.0,139,2018-04-29,2021-04-25,110710.0
106014103.0,119,2018-04-29,2021-04-25,275728.0
106016101.0,111,2018-05-06,2021-04-11,63580.0
106023104.0,135,2018-04-29,2021-04-18,144202.0
106024101.0,81,2018-04-29,2021-03-21,90868.0
106059101.0,146,2018-04-29,2021-04-25,99427.0
106060101.0,20,2018-04-29,2018-11-18,10697.0
106061101.0,147,2018-04-29,2021-04-25,281512.0
106065101.0,73,2018-05-27,2021-03-28,96046.0
106067102.0,105,2018-04-29,2021-04-25,79542.0
106077101.0,105,2018-04-29,2021-04-18,196912.0
106081101.0,139,2018-04-29,2021-04-25,228622.0
106082101.0,115,2018-04-29,2021-04-25,92281.0
106083101.0,19,2018-07-01,2019-09-29,36276.0
106085101.0,66,2018-07-08,2021-04-25,54549.0
106088101.0,62,2018-04-29,2019-11-17,115810.0
106097101.0,142,2018-04-29,2021-04-25,302871.0
107007102.0,99,2018-04-29,2021-04-25,118002.0
107009103.0,74,2018-04-29,2021-04-25,52844.0
107015101.0,62,2018-08-05,2021-04-25,97966.0
107024101.0,114,2018-04-29,2021-04-25,60164.0
107025101.0,152,2018-04-29,2021-04-25,197760.0
107028101.0,29,2018-04-29,2019-02-24,29072.0
107030101.0,119,2018-04-29,2021-04-18,112438.0
107032101.0,84,2018-05-20,2021-04-25,137416.0
107034101.0,8,2018-05-06,2018-09-02,20190.0
107037101.0,81,2018-04-29,2020-09-13,71482.0
107039101.0,131,2018-04-29,2021-04-25,98318.0
107040101.0,130,2018-04-29,2021-04-25,189058.0
107041101.0,36,2018-04-29,2021-04-25,69047.0
107047101.0,143,2018-04-29,2021-04-25,149338.0
107049101.0,98,2018-04-29,2021-04-25,108206.0
107050101.0,68,2018-05-06,2020-05-17,140013.0
108008103.0,126,2018-04-29,2021-04-18,148660.0
108009101.0,118,2018-05-06,2021-04-18,149307.0
108023101.0,82,2018-04-29,2021-04-18,93980.0
108031101.0,93,2018-04-29,2021-03-28,130431.0
108032101.0,121,2018-04-29,2021-04-25,132090.0
108035101.0,7,2018-06-03,2018-07-15,2003.0
108040101.0,96,2018-04-29,2020-04-19,85772.0
108044105.0,132,2018-05-06,2021-04-18,161974.0
108052110.0,145,2018-04-29,2021-04-25,271420.0
108058101.0,95,2018-06-03,2021-04-25,66921.0
108071101.0,69,2018-04-29,2019-12-22,82814.0
109012101.0,111,2018-04-29,2021-04-25,117973.0
109013101.0,151,2018-04-29,2021-04-25,221721.0
109016101.0,150,2018-04-29,2021-04-25,159764.0
109017101.0,90,2018-04-29,2021-04-25,51233.0
109024101.0,144,2018-04-29,2021-04-25,200343.0
109029101.0,28,2018-04-29,2019-02-24,17978.0
109030101.0,155,2018-04-29,2021-04-25,237618.0
109037101.0,88,2018-04-29,2021-02-28,168873.0
109039101.0,6,2018-05-06,2018-06-10,5900.0
109040101.0,156,2018-04-29,2021-04-25,354423.0
109045101.0,79,2018-04-29,2021-04-25,85497.0
109050101.0,57,2018-04-29,2021-04-18,84085.0
109052101.0,14,2018-05-27,2019-08-11,8328.0
110007101.0,4,2018-06-24,2018-07-15,10215.0
110010101.0,98,2018-04-29,2021-04-25,91904.0
110013101.0,122,2018-04-29,2021-04-18,137524.0
110029101.0,136,2018-04-29,2021-04-25,250838.0
110037101.0,146,2018-04-29,2021-04-25,140376.0
110053101.0,142,2018-04-29,2021-04-25,151583.0
110056101.0,118,2018-05-06,2021-04-25,97949.0
110057101.0,131,2018-04-29,2021-04-25,151759.0
110058101.0,123,2018-05-06,2021-04-25,164332.0
110062101.0,121,2018-04-29,2021-04-25,174066.0
110063101.0,119,2018-04-29,2021-04-25,129928.0
110065101.0,83,2018-04-29,2021-02-28,123136.0
111008101.0,75,2018-04-29,2021-02-28,164285.0
111009101.0,120,2018-04-29,2021-04-18,267705.0
111010101.0,135,2018-04-29,2021-04-25,321835.0
111014101.0,41,2018-10-14,2020-12-27,43211.0
111015101.0,129,2018-04-29,2021-04-18,214475.0
111016101.0,122,2018-04-29,2021-04-25,325984.0
112011101.0,131,2018-04-29,2021-04-18,93860.0
112015101.0,28,2018-06-10,2020-11-01,27685.0
112020101.0,141,2018-04-29,2021-04-18,154919.0
112028101.0,155,2018-04-29,2021-04-25,535128.0
113006101.0,11,2018-05-27,2021-02-28,15442.0
113007101.0,129,2018-04-29,2021-04-25,109685.0
114002101.0,154,2018-04-29,2021-04-25,426461.0
115001101.0,2,2018-07-22,2018-08-05,6202.0
115002101.0,133,2018-04-29,2021-04-25,108609.0
117001101.0,135,2018-05-06,2021-04-25,120632.0
117003101.0,34,2018-04-29,2021-03-28,18624.0
117004101.0,23,2018-05-06,2019-10-06,23226.0
117005101.0,55,2018-05-13,2021-03-28,87992.0
117006101.0,38,2018-04-29,2021-02-28,70824.0
117007101.0,148,2018-04-29,2021-04-25,220943.0
117008101.0,111,2018-04-29,2021-04-18,171046.0
117009101.0,76,2018-04-29,2020-04-05,64714.0
117012101.0,100,2018-04-29,2021-04-18,80409.0
121065102.0,140,2018-04-29,2021-04-25,322776.0
121067101.0,150,2018-04-29,2021-04-25,267396.0
121076101.0,118,2018-05-13,2021-04-25,122779.0
121078101.0,143,2018-04-29,2021-04-18,379057.0
121080101.0,120,2018-04-29,2020-08-16,163794.0
122001101.0,123,2018-04-29,2021-04-18,95071.0
122008101.0,17,2018-04-29,2018-09-09,90471.0
122008104.0,106,2018-09-16,2021-04-25,531042.0
122010101.0,108,2018-05-06,2021-04-25,78004.0
123012101.0,131,2018-04-29,2021-04-25,187399.0
123020101.0,14,2018-04-29,2018-08-12,18783.0
124032101.0,156,2018-04-29,2021-04-25,334707.0
124033101.0,29,2018-05-06,2018-12-30,28140.0
124035101.0,51,2018-04-29,2021-02-28,110151.0
124039101.0,155,2018-04-29,2021-04-25,171071.0
125010101.0,127,2018-04-29,2021-04-18,201345.0
125018101.0,123,2018-04-29,2021-04-25,122687.0
125020101.0,154,2018-04-29,2021-04-25,273447.0
125022101.0,156,2018-04-29,2021-04-25,383554.0
125023101.0,121,2018-04-29,2021-03-14,295945.0
125027101.0,28,2018-05-27,2020-12-06,40934.0
125028101.0,6,2019-01-06,2020-09-13,11307.0
125031101.0,145,2018-04-29,2021-04-25,182680.0
129003101.0,92,2018-04-29,2020-07-12,187819.0
129006101.0,107,2018-04-29,2021-04-25,157632.0
129007101.0,54,2018-04-29,2021-04-18,72054.0
129017101.0,87,2018-05-27,2021-04-18,147154.0
129018101.0,25,2018-05-06,2020-09-13,59122.0
129019101.0,145,2018-04-29,2021-04-25,234600.0
130004101.0,55,2018-04-29,2019-10-06,106476.0
130005101.0,117,2018-04-29,2021-04-25,158863.0
130012101.0,120,2018-04-29,2021-04-25,114207.0
130017101.0,2,2018-04-29,2018-05-20,1788.0
131016101.0,43,2018-07-08,2021-04-25,28859.0
131017102.0,115,2018-05-27,2021-04-25,255225.0
131028101.0,63,2018-04-29,2019-08-04,32077.0
131032101.0,34,2018-04-29,2018-12-30,14557.0
132002105.0,38,2018-05-27,2021-04-25,13912.0
132009103.0,97,2018-09-16,2021-04-25,92732.0
132011101.0,98,2018-04-29,2021-04-25,80773.0
132016101.0,31,2018-05-06,2021-02-28,37410.0
132018101.0,79,2018-05-06,2021-04-25,35391.0
132019101.0,62,2018-05-06,2021-04-25,73496.0
132021101.0,114,2018-04-29,2021-04-25,105115.0
132022101.0,114,2018-04-29,2021-04-25,75553.0
132025101.0,8,2018-04-29,2018-06-17,8668.0
132025107.0,70,2018-07-08,2021-04-25,91412.0
132033101.0,104,2018-04-29,2020-08-16,71793.0
132037101.0,129,2018-04-29,2021-04-25,151631.0
132045101.0,149,2018-04-29,2021-04-25,131863.0
132052102.0,123,2018-04-29,2021-04-25,59313.0
132054101.0,49,2018-04-29,2021-02-14,32385.0
132061101.0,125,2018-04-29,2021-04-25,86355.0
132064101.0,101,2018-04-29,2021-04-25,44956.0
132070101.0,122,2018-04-29,2021-04-25,81557.0
132079101.0,55,2018-05-20,2020-09-06,132313.0
132080101.0,88,2018-04-29,2021-04-18,126979.0
132084101.0,90,2018-04-29,2021-04-25,86044.0
133006101.0,144,2018-04-29,2021-04-25,438665.0
133014101.0,142,2018-04-29,2021-04-25,107480.0
133015101.0,43,2018-05-06,2019-07-14,75781.0
133029102.0,82,2018-05-06,2021-04-18,92248.0
133031101.0,73,2018-05-06,2021-04-18,88948.0
133039101.0,59,2018-05-06,2021-04-18,40574.0
133040101.0,91,2018-04-29,2021-04-11,231003.0
133045101.0,63,2018-05-13,2021-04-18,38044.0
133052101.0,121,2018-04-29,2021-04-25,59675.0
133056101.0,150,2018-04-29,2021-04-25,157568.0
133057101.0,42,2018-06-24,2021-04-11,37694.0
133065101.0,56,2018-05-06,2020-09-13,84882.0
133067101.0,155,2018-04-29,2021-04-25,393060.0
133076101.0,83,2018-04-29,2021-04-11,143294.0
133084101.0,56,2018-04-29,2019-07-07,52406.0
133088101.0,141,2018-05-06,2021-04-25,165224.0
133089101.0,81,2018-04-29,2020-06-14,79181.0
133097101.0,143,2018-04-29,2021-04-25,285452.0
133101101.0,52,2018-04-29,2020-09-13,94455.0
133112101.0,144,2018-04-29,2021-04-25,241064.0
133122101.0,105,2018-04-29,2021-04-25,92581.0
133123101.0,106,2018-04-29,2021-04-25,75139.0
133134101.0,29,2018-05-06,2019-10-06,22658.0
133135101.0,15,2018-11-25,2020-09-06,32807.0
136002101.0,150,2018-04-29,2021-04-25,132101.0
